quarter,event_type,DT,year,Incidents,Fatalities
20211,Battles,Bago,2021,1,6
20211,Battles,Bawlake,2021,0,0
20211,Battles,Bhamo,2021,5,5
20211,Battles,Danu Self-Administered Zone,2021,0,0
20211,Battles,Dawei,2021,1,2
20211,Battles,Det Khi Na,2021,0,0
20211,Battles,Falam,2021,0,0
20211,Battles,Gangaw,2021,3,6
20211,Battles,Hakha,2021,0,0
20211,Battles,Hinthada,2021,0,0
20211,Battles,Hkamti,2021,0,0
20211,Battles,Hopang,2021,0,0
20211,Battles,Hpa-An,2021,1,5
20211,Battles,Hpapun,2021,6,12
20211,Battles,Kale,2021,2,7
20211,Battles,Kanbalu,2021,0,0
20211,Battles,Katha,2021,0,0
20211,Battles,Kawkareik,2021,3,3
20211,Battles,Kawlin,2021,0,0
20211,Battles,Kawthoung,2021,0,0
20211,Battles,Kengtung,2021,0,0
20211,Battles,Kokang Self-Administered Zone,2021,0,0
20211,Battles,Kyaukme,2021,40,19
20211,Battles,Kyaukpyu,2021,0,0
20211,Battles,Kyaukse,2021,0,0
20211,Battles,Labutta,2021,0,0
20211,Battles,Langkho,2021,2,3
20211,Battles,Lashio,2021,3,9
20211,Battles,Loikaw,2021,0,0
20211,Battles,Loilen,2021,1,0
20211,Battles,Magway,2021,0,0
20211,Battles,Mandalay,2021,0,0
20211,Battles,Matman,2021,0,0
20211,Battles,Matupi,2021,0,0
20211,Battles,Maubin,2021,0,0
20211,Battles,Maungdaw,2021,1,3
20211,Battles,Mawlaik,2021,0,0
20211,Battles,Mawlamyine,2021,0,0
20211,Battles,Meiktila,2021,0,0
20211,Battles,Minbu,2021,0,0
20211,Battles,Mindat,2021,0,0
20211,Battles,Mohnyin,2021,20,81
20211,Battles,Monghsat,2021,0,0
20211,Battles,Mongmit,2021,0,0
20211,Battles,Monywa,2021,1,2
20211,Battles,Mrauk-U,2021,0,0
20211,Battles,Muse,2021,27,5
20211,Battles,Myaungmya,2021,0,0
20211,Battles,Myawaddy,2021,1,3
20211,Battles,Myeik,2021,0,0
20211,Battles,Myingyan,2021,0,0
20211,Battles,Myitkyina,2021,11,0
20211,Battles,Naga Self-Administered Zone,2021,0,0
20211,Battles,Nyaung-U,2021,1,1
20211,Battles,Oke Ta Ra,2021,0,0
20211,Battles,Pa-O Self-Administered Zone,2021,0,0
20211,Battles,Pa Laung Self-Administered Zone,2021,3,1
20211,Battles,Pakokku,2021,0,0
20211,Battles,Pathein,2021,0,0
20211,Battles,Puta-O,2021,1,3
20211,Battles,Pyapon,2021,0,0
20211,Battles,Pyay,2021,0,0
20211,Battles,Pyinoolwin,2021,0,0
20211,Battles,Sagaing,2021,0,0
20211,Battles,Shwebo,2021,0,0
20211,Battles,Sittwe,2021,0,0
20211,Battles,Tachileik,2021,0,0
20211,Battles,Tamu,2021,1,4
20211,Battles,Taunggyi,2021,2,8
20211,Battles,Taungoo,2021,8,30
20211,Battles,Thandwe,2021,0,0
20211,Battles,Thaton,2021,4,0
20211,Battles,Thayarwady,2021,0,0
20211,Battles,Thayet,2021,0,0
20211,Battles,Yamethin,2021,0,0
20211,Battles,Yangon (East),2021,0,0
20211,Battles,Yangon (North),2021,0,0
20211,Battles,Yangon (South),2021,0,0
20211,Battles,Yangon (West),2021,0,0
20211,Battles,Yinmarbin,2021,0,0
20211,Explosions/Remote violence,Bago,2021,3,11
20211,Explosions/Remote violence,Bawlake,2021,0,0
20211,Explosions/Remote violence,Bhamo,2021,3,2
20211,Explosions/Remote violence,Danu Self-Administered Zone,2021,0,0
20211,Explosions/Remote violence,Dawei,2021,0,0
20211,Explosions/Remote violence,Det Khi Na,2021,0,0
20211,Explosions/Remote violence,Falam,2021,0,0
20211,Explosions/Remote violence,Gangaw,2021,0,0
20211,Explosions/Remote violence,Hakha,2021,0,0
20211,Explosions/Remote violence,Hinthada,2021,0,0
20211,Explosions/Remote violence,Hkamti,2021,0,0
20211,Explosions/Remote violence,Hopang,2021,0,0
20211,Explosions/Remote violence,Hpa-An,2021,2,0
20211,Explosions/Remote violence,Hpapun,2021,13,8
20211,Explosions/Remote violence,Kale,2021,0,0
20211,Explosions/Remote violence,Kanbalu,2021,0,0
20211,Explosions/Remote violence,Katha,2021,2,0
