quarter,event_type,admin2,year,Incidents,Fatalities
2021Q1,Battles,Bago,2021,1,6
2021Q1,Battles,Bawlake,2021,0,0
2021Q1,Battles,Bhamo,2021,5,5
2021Q1,Battles,Danu Self-Administered Zone,2021,0,0
2021Q1,Battles,Dawei,2021,1,2
2021Q1,Battles,Det Khi Na,2021,0,0
2021Q1,Battles,Falam,2021,0,0
2021Q1,Battles,Gangaw,2021,3,6
2021Q1,Battles,Hakha,2021,0,0
2021Q1,Battles,Hinthada,2021,0,0
2021Q1,Battles,Hkamti,2021,0,0
2021Q1,Battles,Hopang,2021,0,0
2021Q1,Battles,Hpa-An,2021,1,5
2021Q1,Battles,Hpapun,2021,6,12
2021Q1,Battles,Kale,2021,2,7
2021Q1,Battles,Kanbalu,2021,0,0
2021Q1,Battles,Katha,2021,0,0
2021Q1,Battles,Kawkareik,2021,3,3
2021Q1,Battles,Kawlin,2021,0,0
2021Q1,Battles,Kawthoung,2021,0,0
2021Q1,Battles,Kengtung,2021,0,0
2021Q1,Battles,Kokang Self-Administered Zone,2021,0,0
2021Q1,Battles,Kyaukme,2021,40,19
2021Q1,Battles,Kyaukpyu,2021,0,0
2021Q1,Battles,Kyaukse,2021,0,0
2021Q1,Battles,Labutta,2021,0,0
2021Q1,Battles,Langkho,2021,2,3
2021Q1,Battles,Lashio,2021,3,9
2021Q1,Battles,Loikaw,2021,0,0
2021Q1,Battles,Loilen,2021,1,0
2021Q1,Battles,Magway,2021,0,0
2021Q1,Battles,Mandalay,2021,0,0
2021Q1,Battles,Matman,2021,0,0
2021Q1,Battles,Matupi,2021,0,0
2021Q1,Battles,Maubin,2021,0,0
2021Q1,Battles,Maungdaw,2021,1,3
2021Q1,Battles,Mawlaik,2021,0,0
2021Q1,Battles,Mawlamyine,2021,0,0
2021Q1,Battles,Meiktila,2021,0,0
2021Q1,Battles,Minbu,2021,0,0
2021Q1,Battles,Mindat,2021,0,0
2021Q1,Battles,Mohnyin,2021,20,81
2021Q1,Battles,Monghsat,2021,0,0
2021Q1,Battles,Mongmit,2021,0,0
2021Q1,Battles,Monywa,2021,1,2
2021Q1,Battles,Mrauk-U,2021,0,0
2021Q1,Battles,Muse,2021,27,5
2021Q1,Battles,Myaungmya,2021,0,0
2021Q1,Battles,Myawaddy,2021,1,3
2021Q1,Battles,Myeik,2021,0,0
2021Q1,Battles,Myingyan,2021,0,0
2021Q1,Battles,Myitkyina,2021,11,0
2021Q1,Battles,Naga Self-Administered Zone,2021,0,0
2021Q1,Battles,Nyaung-U,2021,1,1
2021Q1,Battles,Oke Ta Ra,2021,0,0
2021Q1,Battles,Pa-O Self-Administered Zone,2021,0,0
2021Q1,Battles,Pa Laung Self-Administered Zone,2021,3,1
2021Q1,Battles,Pakokku,2021,0,0
2021Q1,Battles,Pathein,2021,0,0
2021Q1,Battles,Puta-O,2021,1,3
2021Q1,Battles,Pyapon,2021,0,0
2021Q1,Battles,Pyay,2021,0,0
2021Q1,Battles,Pyinoolwin,2021,0,0
2021Q1,Battles,Sagaing,2021,0,0
2021Q1,Battles,Shwebo,2021,0,0
2021Q1,Battles,Sittwe,2021,0,0
2021Q1,Battles,Tachileik,2021,0,0
2021Q1,Battles,Tamu,2021,1,4
2021Q1,Battles,Taunggyi,2021,2,8
2021Q1,Battles,Taungoo,2021,8,30
2021Q1,Battles,Thandwe,2021,0,0
2021Q1,Battles,Thaton,2021,4,0
2021Q1,Battles,Thayarwady,2021,0,0
2021Q1,Battles,Thayet,2021,0,0
2021Q1,Battles,Yamethin,2021,0,0
2021Q1,Battles,Yangon (East),2021,0,0
2021Q1,Battles,Yangon (North),2021,0,0
2021Q1,Battles,Yangon (South),2021,0,0
2021Q1,Battles,Yangon (West),2021,0,0
2021Q1,Battles,Yinmarbin,2021,0,0
2021Q1,Explosions/Remote violence,Bago,2021,3,11
2021Q1,Explosions/Remote violence,Bawlake,2021,0,0
2021Q1,Explosions/Remote violence,Bhamo,2021,3,2
2021Q1,Explosions/Remote violence,Danu Self-Administered Zone,2021,0,0
2021Q1,Explosions/Remote violence,Dawei,2021,0,0
2021Q1,Explosions/Remote violence,Det Khi Na,2021,0,0
2021Q1,Explosions/Remote violence,Falam,2021,0,0
2021Q1,Explosions/Remote violence,Gangaw,2021,0,0
2021Q1,Explosions/Remote violence,Hakha,2021,0,0
2021Q1,Explosions/Remote violence,Hinthada,2021,0,0
2021Q1,Explosions/Remote violence,Hkamti,2021,0,0
2021Q1,Explosions/Remote violence,Hopang,2021,0,0
2021Q1,Explosions/Remote violence,Hpa-An,2021,2,0
2021Q1,Explosions/Remote violence,Hpapun,2021,13,8
2021Q1,Explosions/Remote violence,Kale,2021,0,0
2021Q1,Explosions/Remote violence,Kanbalu,2021,0,0
2021Q1,Explosions/Remote violence,Katha,2021,2,0
2021Q1,Explosions/Remote violence,Kawkareik,2021,3,0
2021Q1,Explosions/Remote violence,Kawlin,2021,0,0
2021Q1,Explosions/Remote violence,Kawthoung,2021,0,0
2021Q1,Explosions/Remote violence,Kengtung,2021,0,0
2021Q1,Explosions/Remote violence,Kokang Self-Administered Zone,2021,0,0
2021Q1,Explosions/Remote violence,Kyaukme,2021,5,2
2021Q1,Explosions/Remote violence,Kyaukpyu,2021,2,0
2021Q1,Explosions/Remote violence,Kyaukse,2021,0,0
2021Q1,Explosions/Remote violence,Labutta,2021,0,0
2021Q1,Explosions/Remote violence,Langkho,2021,1,1
2021Q1,Explosions/Remote violence,Lashio,2021,4,0
2021Q1,Explosions/Remote violence,Loikaw,2021,0,0
2021Q1,Explosions/Remote violence,Loilen,2021,0,0
2021Q1,Explosions/Remote violence,Magway,2021,0,0
2021Q1,Explosions/Remote violence,Mandalay,2021,0,0
2021Q1,Explosions/Remote violence,Matman,2021,0,0
2021Q1,Explosions/Remote violence,Matupi,2021,1,0
2021Q1,Explosions/Remote violence,Maubin,2021,0,0
2021Q1,Explosions/Remote violence,Maungdaw,2021,2,1
2021Q1,Explosions/Remote violence,Mawlaik,2021,0,0
2021Q1,Explosions/Remote violence,Mawlamyine,2021,0,0
2021Q1,Explosions/Remote violence,Meiktila,2021,0,0
2021Q1,Explosions/Remote violence,Minbu,2021,0,0
2021Q1,Explosions/Remote violence,Mindat,2021,0,0
2021Q1,Explosions/Remote violence,Mohnyin,2021,10,0
2021Q1,Explosions/Remote violence,Monghsat,2021,0,0
2021Q1,Explosions/Remote violence,Mongmit,2021,0,0
2021Q1,Explosions/Remote violence,Monywa,2021,0,0
2021Q1,Explosions/Remote violence,Mrauk-U,2021,3,2
2021Q1,Explosions/Remote violence,Muse,2021,2,1
2021Q1,Explosions/Remote violence,Myaungmya,2021,0,0
2021Q1,Explosions/Remote violence,Myawaddy,2021,1,0
2021Q1,Explosions/Remote violence,Myeik,2021,0,0
2021Q1,Explosions/Remote violence,Myingyan,2021,0,0
2021Q1,Explosions/Remote violence,Myitkyina,2021,7,0
2021Q1,Explosions/Remote violence,Naga Self-Administered Zone,2021,0,0
2021Q1,Explosions/Remote violence,Nyaung-U,2021,0,0
2021Q1,Explosions/Remote violence,Oke Ta Ra,2021,0,0
2021Q1,Explosions/Remote violence,Pa-O Self-Administered Zone,2021,0,0
2021Q1,Explosions/Remote violence,Pa Laung Self-Administered Zone,2021,1,5
2021Q1,Explosions/Remote violence,Pakokku,2021,0,0
2021Q1,Explosions/Remote violence,Pathein,2021,0,0
2021Q1,Explosions/Remote violence,Puta-O,2021,0,0
2021Q1,Explosions/Remote violence,Pyapon,2021,0,0
2021Q1,Explosions/Remote violence,Pyay,2021,0,0
2021Q1,Explosions/Remote violence,Pyinoolwin,2021,0,0
2021Q1,Explosions/Remote violence,Sagaing,2021,0,0
2021Q1,Explosions/Remote violence,Shwebo,2021,0,0
2021Q1,Explosions/Remote violence,Sittwe,2021,1,0
2021Q1,Explosions/Remote violence,Tachileik,2021,0,0
2021Q1,Explosions/Remote violence,Tamu,2021,0,0
2021Q1,Explosions/Remote violence,Taunggyi,2021,0,0
2021Q1,Explosions/Remote violence,Taungoo,2021,4,0
2021Q1,Explosions/Remote violence,Thandwe,2021,0,0
2021Q1,Explosions/Remote violence,Thaton,2021,2,0
2021Q1,Explosions/Remote violence,Thayarwady,2021,0,0
2021Q1,Explosions/Remote violence,Thayet,2021,0,0
2021Q1,Explosions/Remote violence,Yamethin,2021,0,0
2021Q1,Explosions/Remote violence,Yangon (East),2021,1,1
2021Q1,Explosions/Remote violence,Yangon (North),2021,0,0
2021Q1,Explosions/Remote violence,Yangon (South),2021,0,0
2021Q1,Explosions/Remote violence,Yangon (West),2021,2,0
2021Q1,Explosions/Remote violence,Yinmarbin,2021,0,0
2021Q1,Protests,Bago,2021,59,10
2021Q1,Protests,Bawlake,2021,4,0
2021Q1,Protests,Bhamo,2021,33,2
2021Q1,Protests,Danu Self-Administered Zone,2021,1,0
2021Q1,Protests,Dawei,2021,50,6
2021Q1,Protests,Det Khi Na,2021,38,0
2021Q1,Protests,Falam,2021,47,0
2021Q1,Protests,Gangaw,2021,8,2
2021Q1,Protests,Hakha,2021,67,0
2021Q1,Protests,Hinthada,2021,31,0
2021Q1,Protests,Hkamti,2021,10,0
2021Q1,Protests,Hopang,2021,3,0
2021Q1,Protests,Hpa-An,2021,42,0
2021Q1,Protests,Hpapun,2021,6,0
2021Q1,Protests,Kale,2021,31,5
2021Q1,Protests,Kanbalu,2021,5,0
2021Q1,Protests,Katha,2021,23,0
2021Q1,Protests,Kawkareik,2021,33,0
2021Q1,Protests,Kawlin,2021,29,0
2021Q1,Protests,Kawthoung,2021,12,9
2021Q1,Protests,Kengtung,2021,12,0
2021Q1,Protests,Kokang Self-Administered Zone,2021,0,0
2021Q1,Protests,Kyaukme,2021,79,0
2021Q1,Protests,Kyaukpyu,2021,10,0
2021Q1,Protests,Kyaukse,2021,39,1
2021Q1,Protests,Labutta,2021,35,0
2021Q1,Protests,Langkho,2021,1,0
2021Q1,Protests,Lashio,2021,69,4
2021Q1,Protests,Loikaw,2021,46,1
2021Q1,Protests,Loilen,2021,12,0
2021Q1,Protests,Magway,2021,87,1
2021Q1,Protests,Mandalay,2021,97,53
2021Q1,Protests,Matman,2021,0,0
2021Q1,Protests,Matupi,2021,27,0
2021Q1,Protests,Maubin,2021,10,0
2021Q1,Protests,Maungdaw,2021,0,0
2021Q1,Protests,Mawlaik,2021,2,0
2021Q1,Protests,Mawlamyine,2021,91,6
2021Q1,Protests,Meiktila,2021,57,6
2021Q1,Protests,Minbu,2021,22,1
2021Q1,Protests,Mindat,2021,41,0
2021Q1,Protests,Mohnyin,2021,82,6
2021Q1,Protests,Monghsat,2021,3,0
2021Q1,Protests,Mongmit,2021,5,0
2021Q1,Protests,Monywa,2021,72,19
2021Q1,Protests,Mrauk-U,2021,1,0
2021Q1,Protests,Muse,2021,73,4
2021Q1,Protests,Myaungmya,2021,7,0
2021Q1,Protests,Myawaddy,2021,29,0
2021Q1,Protests,Myeik,2021,23,11
2021Q1,Protests,Myingyan,2021,24,21
2021Q1,Protests,Myitkyina,2021,72,2
2021Q1,Protests,Naga Self-Administered Zone,2021,3,0
2021Q1,Protests,Nyaung-U,2021,23,5
2021Q1,Protests,Oke Ta Ra,2021,8,0
2021Q1,Protests,Pa-O Self-Administered Zone,2021,2,0
2021Q1,Protests,Pa Laung Self-Administered Zone,2021,18,0
2021Q1,Protests,Pakokku,2021,51,11
2021Q1,Protests,Pathein,2021,49,7
2021Q1,Protests,Puta-O,2021,24,0
